,name,online_order,rest_type,cuisines
0,Jalsa,Yes,Casual Dining,"North Indian, Mughlai, Chinese"
1,Spice Elephant,Yes,Casual Dining,"Chinese, North Indian, Thai"
4,Grand Village,No,Casual Dining,"North Indian, Rajasthani"
5,Timepass Dinner,Yes,Casual Dining,North Indian
37,Szechuan Dragon,Yes,Casual Dining,"Chinese, Thai, Momos"
38,Empire Restaurant,Yes,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
47,Recipe,Yes,Casual Dining,"North Indian, Chinese, Biryani, Rolls"
48,Beijing Bites,Yes,Casual Dining,"Chinese, Thai"
53,Biryanis And More,Yes,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian"
57,Wamama,Yes,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos"
60,Peppy Peppers,No,Casual Dining,"Italian, North Indian, Mexican"
61,Goa 0 Km,Yes,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani"
63,1947,No,Casual Dining,"North Indian, Chinese"
86,Meghana Foods,Yes,Casual Dining,"Biryani, North Indian, Chinese"
94,Nandhini Deluxe,No,Casual Dining,North Indian
145,Anna Kuteera,Yes,Casual Dining,"South Indian, North Indian, Chinese"
148,Sri Udupi Food Hub,Yes,Casual Dining,"South Indian, North Indian, Chinese, Beverages"
150,House Of Kebabs,Yes,Casual Dining,"North Indian, Kebab, Biryani, Chinese"
156,Imperial Restaurant,Yes,Casual Dining,"North Indian, Chinese, Biryani, Beverages"
162,Canton,Yes,Casual Dining,"Chinese, Seafood, Biryani"
166,Patio 805,Yes,Casual Dining,"Thai, Vietnamese, Asian, Chinese"
182,@Italy,Yes,Casual Dining,Italian
194,Gokul Veg,Yes,Casual Dining,"North Indian, Chinese, Beverages"
195,Olive - Era,Yes,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts"
200,Pizza Hut,Yes,Casual Dining,"Pizza, Fast Food"
201,Mangalore Pearl,Yes,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani"
206,Dal Tadkaa,Yes,Casual Dining,North Indian
207,Chutney Chang,Yes,Casual Dining,"North Indian, Chinese, BBQ"
209,Thamboola,Yes,Casual Dining,"North Indian, Chinese, Continental"
210,Castle Rock,Yes,Casual Dining,"North Indian, Chinese"
211,Vietnamese Kitchen,Yes,Casual Dining,Vietnamese
217,Toscano,Yes,Casual Dining,"Italian, Salad"
220,Central Jail Restaurant,Yes,Casual Dining,"Andhra, Seafood, North Indian, Chinese"
221,Bella,Yes,Casual Dining,"Mangalorean, Seafood, South Indian"
223,New Prashanth Hotel,Yes,Casual Dining,"South Indian, Biryani, Chinese, North Indian"
235,RS Shiv Sagar,No,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices"
248,Ugadi,Yes,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean"
255,A2B - Adyar Ananda Bhavan,Yes,Casual Dining,"South Indian, North Indian, Chinese, Street Food"
258,Green Gardenia,Yes,Casual Dining,"North Indian, Chinese"
259,J Spice,Yes,Casual Dining,"North Indian, Chinese"
264,Upahara Darshini,Yes,Casual Dining,"North Indian, Chinese, South Indian, Fast Food"
271,Samskruti - Sanman Gardenia,Yes,Casual Dining,"North Indian, Chinese, South Indian"
277,Dwaraka Grand,Yes,Casual Dining,"South Indian, Chinese, Street Food, Juices"
278,Gufha - The President Hotel,Yes,Casual Dining,"North Indian, Afghani, Mughlai"
285,Chung Wah,Yes,Casual Dining,"Chinese, Thai, Momos"
290,Prems Graama Bhojanam,Yes,Casual Dining,South Indian
296,Rustic Stove,Yes,Casual Dining,"North Indian, South Indian, Biryani, Beverages"
298,De Thaali,Yes,Casual Dining,"North Indian, Chinese, Rolls"
303,Sea Spice by 7 Star,Yes,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab"
309,South Grand,Yes,Casual Dining,"South Indian, North Indian, Chinese, Beverages"
3,Addhuri Udupi Bhojana,No,Quick Bites,"South Indian, North Indian"
31,Foodiction,Yes,Quick Bites,"North Indian, Fast Food, Chinese, Burger"
34,Faasos,Yes,Quick Bites,"North Indian, Biryani, Fast Food"
40,Chaatimes,Yes,Quick Bites,"Street Food, Fast Food"
42,McDonald's,Yes,Quick Bites,"Burger, Fast Food"
43,Domino's Pizza,Yes,Quick Bites,"Pizza, Fast Food"
46,Kitchen Garden,Yes,Quick Bites,"North Indian, Chinese"
49,Tasty Bytes,Yes,Quick Bites,"North Indian, Chinese, Momos, Rolls"
54,Roving Feast,No,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos"
65,Kabab Magic,Yes,Quick Bites,"North Indian, Kebab, Chinese, Fast Food"
71,The Biryani Cafe,No,Quick Bites,"Biryani, Chinese, Kebab"
74,Rolls On Wheels,No,Quick Bites,"Fast Food, Rolls, Momos"
76,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,Quick Bites,South Indian
79,Upahar Sagar,No,Quick Bites,"South Indian, Chinese, North Indian"
98,Chatar Patar,No,Quick Bites,"Fast Food, Street Food"
100,Kidambi's Kitchen,No,Quick Bites,South Indian
101,Mane Thindi,No,Quick Bites,South Indian
120,Bengaluru Coffee House,Yes,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
151,Roll N Rock,Yes,Quick Bites,"Chinese, North Indian, Mughlai, Rolls"
153,KFC,Yes,Quick Bites,"Burger, Fast Food"
159,Wahab,Yes,Quick Bites,"North Indian, Mughlai, Chinese"
168,Sagar Deluxe,Yes,Quick Bites,"South Indian, North Indian, Chinese, Juices"
174,Energy Addaa,Yes,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza"
176,Tandoori Knight,Yes,Quick Bites,"North Indian, Chinese, Biryani, Kebab"
177,Dev Sagar - Food Street,Yes,Quick Bites,Street Food
178,Mitraa Da Pizza,Yes,Quick Bites,"Fast Food, Pizza"
186,Donne Biriyani House,Yes,Quick Bites,"South Indian, North Indian, Chinese, Biryani"
188,Kedia's Fun Food,Yes,Quick Bites,"North Indian, Street Food, Juices"
190,Just Shawarma,Yes,Quick Bites,Arabian
191,Mini Punjabi Dhaba,Yes,Quick Bites,North Indian
198,Gama Gama,Yes,Quick Bites,South Indian
203,Twiststick House,Yes,Quick Bites,"Continental, Fast Food, Street Food, Momos"
204,Cool Corner,Yes,Quick Bites,"Street Food, Fast Food"
205,Pizza Mane,Yes,Quick Bites,"Pizza, Sandwich, Burger, Fast Food"
208,Mystique Palate,Yes,Quick Bites,"Chinese, Fast Food"
227,Tiwari's,Yes,Quick Bites,"North Indian, Street Food"
228,Pizza Stop,Yes,Quick Bites,"Pizza, Italian"
229,Biggies Burger 'n' More,Yes,Quick Bites,"Cafe, Burger, Beverages"
231,Kollapuri's,No,Quick Bites,"South Indian, Mangalorean"
237,Harshi Super Sandwich,No,Quick Bites,"Fast Food, Street Food"
251,Subway,Yes,Quick Bites,"Salad, Fast Food"
253,The Lassi Park,Yes,Quick Bites,"Juices, Desserts"
256,Srikrishna Bhavan,Yes,Quick Bites,"South Indian, North Indian, Chinese"
262,Hatti Kaapi,Yes,Quick Bites,"South Indian, Beverages"
265,The Chaat Shop,Yes,Quick Bites,Fast Food
274,Chumma Delicious,Yes,Quick Bites,"South Indian, Fast Food"
284,South Kitchen,Yes,Quick Bites,South Indian
292,Kamat Bugle Rock,Yes,Quick Bites,"South Indian, Fast Food"
294,Puliyogare Point,Yes,Quick Bites,South Indian
295,Bangalore Agarwal Bhavan,Yes,Quick Bites,"Street Food, North Indian, South Indian"
8,Penthouse Cafe,Yes,Cafe,"Cafe, Italian, Continental"
9,Smacznego,Yes,Cafe,"Cafe, Mexican, Italian, Momos, Beverages"
10,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,Cafe,Cafe
11,Cafe Shuffle,Yes,Cafe,"Cafe, Italian, Continental"
12,The Coffee Shack,Yes,Cafe,"Cafe, Chinese, Continental, Italian"
13,Caf-Eleven,No,Cafe,"Cafe, Continental"
15,Cafe Vivacity,Yes,Cafe,Cafe
16,Catch-up-ino,Yes,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos"
17,Kirthi's Biryani,Yes,Cafe,"Chinese, Cafe, Italian"
18,T3H Cafe,No,Cafe,"Cafe, Italian, American"
20,The Vintage Cafe,Yes,Cafe,"Cafe, French, North Indian"
21,Woodee Pizza,Yes,Cafe,"Cafe, Pizza, Fast Food, Beverages"
30,Redberrys,Yes,Cafe,"Cafe, Italian"
164,The Blue Wagon - Kitchen,Yes,Cafe,"Cafe, Beverages"
180,Grazers,Yes,Cafe,"Cafe, Burger, Continental, Italian, Desserts"
291,Java City,Yes,Cafe,"Cafe, American, Pizza"
305,Cafe Aira,Yes,Cafe,"Cafe, Continental, Beverages, Desserts"
323,Cross Road Cafe,Yes,Cafe,"Cafe, Fast Food, Chinese"
330,Bakers Town,Yes,Cafe,"Cafe, Continental, Fast Food"
334,The Airos,Yes,Cafe,"Cafe, Italian, Pizza"
346,Little Cafe,Yes,Cafe,"Cafe, Beverages"
350,1980s Games Cafe,Yes,Cafe,"Cafe, Fast Food"
403,Cafe Mondo,Yes,Cafe,"Cafe, Italian, Beverages"
473,Steaming Mugs,Yes,Cafe,Cafe
482,Cafe Ajfan,Yes,Cafe,"Cafe, Continental, Beverages"
881,Cafe Kabana,No,Cafe,"Cafe, Continental"
882,Butterly,Yes,Cafe,"Cafe, Bakery, Beverages"
884,Black Mug Cafe,Yes,Cafe,Cafe
885,#refuel,Yes,Cafe,"Cafe, Beverages"
887,Vaho Kafe & Pressery,No,Cafe,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices"
888,Dreamcatcher,Yes,Cafe,Cafe
893,Kalmane Koffees,No,Cafe,Cafe
902,Slate Cafe,Yes,Cafe,"Cafe, Sandwich, Burger"
903,Dialogues,No,Cafe,"Cafe, Continental"
905,Mudpipe Cafe,Yes,Cafe,"Cafe, Continental, North Indian"
907,TAB - Take A Break,No,Cafe,"Cafe, Continental, Italian"
910,Cafe Potpourri,Yes,Cafe,"Cafe, Sandwich, North Indian, Beverages, Desserts"
912,Vinaya Coffee Moments,Yes,Cafe,"Burger, Cafe, Desserts, Sandwich, Italian"
915,Cuppa,No,Cafe,"Cafe, Fast Food"
919,Skytouch Le Cafe,Yes,Cafe,"Cafe, Italian, Desserts"
952,Kullad Cafe,Yes,Cafe,"North Indian, Cafe, Fast Food, Beverages"
1041,PHEW (Play Hard Eat Wild),Yes,Cafe,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe"
1160,Pancuzzi,Yes,Cafe,"Cafe, Beverages, Desserts"
1379,On The Nose,Yes,Cafe,"Cafe, Italian, Mexican, Chinese"
1410,Ruh's Cafe,Yes,Cafe,"Cafe, American, Italian, Continental, Chinese"
1456,Willys Top Cafe,Yes,Cafe,"Cafe, Continental, Asian"
1517,Brewz Coffee,Yes,Cafe,Cafe
1815,Cafe Mist,Yes,Cafe,"Cafe, American, Continental, Italian"
2496,Cafe Cosy,No,Cafe,"Cafe, Chinese, Continental, Fast Food"
2506,Alchemy Coffee Roasters,No,Cafe,Cafe
52,Corner House Ice Cream,No,Dessert Parlor,"Ice Cream, Desserts"
99,Polar Bear,Yes,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich"
155,Roll Over,Yes,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich"
185,Old Mumbai Ice Cream,Yes,Dessert Parlor,Ice Cream
219,Stoned Monkey,Yes,Dessert Parlor,"Desserts, Ice Cream"
317,Chocoberry,Yes,Dessert Parlor,"Ice Cream, Desserts, Beverages"
322,Waffle-A-Go Go,Yes,Dessert Parlor,"Fast Food, Desserts, Ice Cream"
933,XO Belgian Waffle,Yes,Dessert Parlor,"Desserts, Beverages"
957,Cakebuy,Yes,Dessert Parlor,Desserts
1062,Cold Stone Creamery,Yes,Dessert Parlor,"Ice Cream, Desserts"
1224,Rock Stone Ice Cream Factory,Yes,Dessert Parlor,Ice Cream
1273,Waffle Stories,Yes,Dessert Parlor,"Desserts, Beverages"
1326,Asha Sweets Centre,Yes,Dessert Parlor,Fast Food
1345,World of Waffles,Yes,Dessert Parlor,Desserts
1395,Natural Ice Cream,No,Dessert Parlor,"Ice Cream, Desserts"
1430,Berrylicious,Yes,Dessert Parlor,"Ice Cream, Desserts, Bakery"
1654,Apsara Ice Cream,No,Dessert Parlor,"Ice Cream, Desserts"
1671,Kulfi & More,Yes,Dessert Parlor,"Ice Cream, Desserts, Juices"
1708,Baskin Robbins,No,Dessert Parlor,Ice Cream
1915,Cream Stone,No,Dessert Parlor,"Desserts, Beverages"
1922,Calvin's,No,Dessert Parlor,"Desserts, Italian, Pizza"
2578,Krispy Kreme,Yes,Dessert Parlor,"Desserts, Beverages"
2661,Cakewala,Yes,Dessert Parlor,"Bakery, Desserts"
2662,The Belgian Waffle Co.,Yes,Dessert Parlor,"Desserts, Beverages"
2732,Ice Cream Works,Yes,Dessert Parlor,"Desserts, Ice Cream"
2751,Bubblewrap Waffle Co.,Yes,Dessert Parlor,"Desserts, Beverages"
2767,Ibaco,Yes,Dessert Parlor,Desserts
2836,Pop Hop,Yes,Dessert Parlor,"Ice Cream, Desserts"
2904,Ice Land,Yes,Dessert Parlor,"Ice Cream, Desserts"
3084,Mishra's Pedha Big Foods,No,Dessert Parlor,"Desserts, Mithai"
3111,Divina - Eden Park Restaurants,No,Dessert Parlor,Desserts
3184,Amma's Pastries,No,Dessert Parlor,Bakery
3223,Milano Ice Cream,No,Dessert Parlor,"Ice Cream, Desserts"
4074,Smoor,Yes,Dessert Parlor,"Desserts, Beverages"
4123,Pabrai's Fresh & Naturelle Icecreams,Yes,Dessert Parlor,"Ice Cream, Desserts"
4269,Kawaii,Yes,Dessert Parlor,"Desserts, Ice Cream"
4370,Cupcake Noggins,No,Dessert Parlor,"Desserts, Bakery"
4391,Butter Side Up,Yes,Dessert Parlor,"Desserts, Bakery"
4397,Mumbai Kulfi,Yes,Dessert Parlor,Ice Cream
4538,Hokey Pokey Ice Creams,No,Dessert Parlor,"Ice Cream, Desserts"
5153,Belgian Waffle Factory,Yes,Dessert Parlor,Desserts
5209,The Waffle Press,Yes,Dessert Parlor,"Desserts, Ice Cream"
5228,Cream Chemistry,Yes,Dessert Parlor,"Ice Cream, Desserts"
5278,Sweet Chariot,Yes,Dessert Parlor,"Bakery, Fast Food"
5292,99 Pancakes,Yes,Dessert Parlor,"Desserts, Ice Cream"
5336,Chocolate D'Luxe,Yes,Dessert Parlor,Desserts
5390,ZOROY Luxury Chocolate,Yes,Dessert Parlor,Desserts
5407,Brownie Heaven,Yes,Dessert Parlor,"Desserts, Fast Food"
5463,Gelato Italiano,Yes,Dessert Parlor,"Ice Cream, Bakery, Desserts"
5469,Troll,Yes,Dessert Parlor,"Desserts, Ice Cream"
397,Eurasia Pasta and Barbeque by Little Italy,Yes,"Casual Dining, Bar","Italian, Fast Food, Salad, BBQ"
471,Andhra Ruchulu,Yes,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese"
1135,BANGALORE BOX,Yes,"Casual Dining, Bar","Asian, Continental, Finger Food"
1143,Chavadi,Yes,"Casual Dining, Bar","Continental, North Indian, Pizza, Italian"
1213,The Coastal Crew by Fujian on 24th,Yes,"Casual Dining, Bar","Chinese, Thai, Seafood, North Indian, Momos"
1249,Crumb Together,Yes,"Casual Dining, Bar","Continental, Finger Food, North Indian, Chinese"
1372,Nandhana Palace,No,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese"
1502,Casa Piccosa,Yes,"Casual Dining, Bar","South American, Continental, Italian"
2241,Hakuna Matata,No,"Casual Dining, Bar","North Indian, Asian, Seafood, Chinese"
2296,Coconut Grove,No,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood"
3449,Once Upon a Rooftop,No,"Casual Dining, Bar","Pizza, Italian, Chinese, Thai"
3747,The Fisherman's Wharf,Yes,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian"
3755,Punjabi Times,Yes,"Casual Dining, Bar",North Indian
3762,The Black Pearl,No,"Casual Dining, Bar","North Indian, European, Mediterranean, BBQ"
3925,Chili's American Grill & Bar,Yes,"Casual Dining, Bar","American, Tex-Mex, Burger, BBQ"
3945,Dhaba Estd 1986 Delhi,Yes,"Casual Dining, Bar",North Indian
3973,Float,Yes,"Casual Dining, Bar","North Indian, Japanese"
3999,Napoli Italian Bistro,Yes,"Casual Dining, Bar","Italian, Mexican, Continental, Pizza"
4087,Baithak,Yes,"Casual Dining, Bar","Continental, North Indian, Mughlai"
4236,Mishmash,Yes,"Casual Dining, Bar","Mediterranean, Continental, North Indian, Mughlai, Salad"
4585,BG's Poolside Bar & Grill,No,"Casual Dining, Bar","Mediterranean, Italian, Mexican"
4984,Oh! Calcutta,Yes,"Casual Dining, Bar","Bengali, Seafood"
4986,Mainland China,Yes,"Casual Dining, Bar","Chinese, Momos"
4994,The Spice Bazaar,No,"Casual Dining, Bar","North Indian, Mughlai"
4999,Puran da Dhaba - The Pride Hotel,Yes,"Casual Dining, Bar",North Indian
5003,Tiger Trail - Ramada Hotel,Yes,"Casual Dining, Bar","North Indian, Lucknowi"
5009,South Parade - The Chancery Hotel,No,"Casual Dining, Bar","North Indian, Continental, Chinese"
5284,Desi Deck,Yes,"Casual Dining, Bar","Mughlai, North Indian, Desserts"
5320,Carnival de Goa,Yes,"Casual Dining, Bar","Goan, Mangalorean, Pizza"
5325,The Open Box,Yes,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad"
5346,20 Feet High,Yes,"Casual Dining, Bar","American, Continental, Steak, Salad"
5379,EatWater,Yes,"Casual Dining, Bar",North Eastern
5412,The Grill House,Yes,"Casual Dining, Bar","American, Mexican, Italian, Steak"
5495,MISU,Yes,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean"
5499,The Rice Bowl,Yes,"Casual Dining, Bar","Chinese, Momos"
5590,Sunny's,No,"Casual Dining, Bar","European, Italian, Seafood, Continental"
5598,Nandhini Paradise,No,"Casual Dining, Bar","Andhra, Chinese, North Indian"
5638,Fava,No,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab"
5946,The Permit Room,No,"Casual Dining, Bar",South Indian
6054,Hard Rock Cafe,No,"Casual Dining, Bar","American, BBQ"
6079,1Q1,No,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese"
6097,Tree Tops Bar & Kitchen,No,"Casual Dining, Bar","North Indian, Chinese, Continental, Italian"
6182,Matsuri - The Chancery Hotel,No,"Casual Dining, Bar",Japanese
6195,Fort Kochi,No,"Casual Dining, Bar","Kerala, Seafood"
6246,Atomic Lab,No,"Casual Dining, Bar","Asian, North Indian, Continental"
6270,Mighty Small,No,"Casual Dining, Bar","Continental, Chinese"
6271,White Plate,No,"Casual Dining, Bar","Thai, Continental, North Indian"
6306,Unicorn Bar & Restaurant,No,"Casual Dining, Bar","Seafood, North Indian, Chinese"
6744,Zaica Dine & Wine,Yes,"Casual Dining, Bar",North Indian
6747,Ji Hazoor,Yes,"Casual Dining, Bar","Mughlai, North Indian, Biryani, Afghan"
33,Ovenstory Pizza,Yes,Delivery,Pizza
35,Behrouz Biryani,Yes,Delivery,Biryani
45,Hotboxit,No,Delivery,"North Indian, Continental, Italian"
55,FreshMenu,Yes,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
282,Mojo Pizza - 2X Toppings,Yes,Delivery,Pizza
314,Firangi Bake,Yes,Delivery,"Mexican, Italian"
937,Aniram's,Yes,Delivery,"Chinese, North Indian"
1058,Faasos,Yes,Delivery,"North Indian, Biryani, Fast Food"
1060,Mealer.in,Yes,Delivery,"North Indian, Biryani"
1093,Biryani Miya,Yes,Delivery,"Biryani, North Indian"
1107,Basmati Delights,Yes,Delivery,"Biryani, Chinese, Mughlai, Fast Food, Kebab"
1113,Matka,Yes,Delivery,"Biryani, North Indian"
1133,Calorie Express,Yes,Delivery,Healthy Food
1145,Cucumber Town,Yes,Delivery,"Kerala, North Indian"
1181,Rithika's Kitchen,Yes,Delivery,"Biryani, South Indian, Andhra"
1214,BIB - Breakfast in the Box,Yes,Delivery,"American, Sandwich"
1444,Dream a Dozen,Yes,Delivery,"Bakery, Desserts"
1446,Nite Out,Yes,Delivery,"North Indian, Chinese, Biryani"
1532,Mast Kalandar,No,Delivery,North Indian
1728,Owl's Kitchen,No,Delivery,"North Indian, Chinese"
1862,Sweet Truth,Yes,Delivery,"Bakery, Desserts"
3811,The Paratha Company,Yes,Delivery,North Indian
3812,nu.tree,Yes,Delivery,"North Indian, Healthy Food, Beverages"
3854,Shudh,Yes,Delivery,North Indian
3860,Potful,Yes,Delivery,"Biryani, Kebab, Rolls, Mughlai"
3864,DinePost9,Yes,Delivery,"North Indian, South Indian, Chinese, Continental"
3872,Maa Bhook Lagi,Yes,Delivery,North Indian
3891,Kya Khaoge,Yes,Delivery,"North Indian, Chinese"
3895,The Nosh House,Yes,Delivery,"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls"
3916,Andhra Bhojanam,Yes,Delivery,Andhra
3956,Healthie,Yes,Delivery,"Healthy Food, Beverages"
3979,InnerChef,Yes,Delivery,"North Indian, Continental"
3985,Crunch Pizzas - Express Delivery,Yes,Delivery,Pizza
4083,Le Gateau - The Cake Shop,Yes,Delivery,"Desserts, Bakery"
4095,Fusion Tadka,Yes,Delivery,"North Indian, Chinese"
4099,NH-1,Yes,Delivery,North Indian
4270,B.M.W - Bhookh Mitaane Wala,Yes,Delivery,"North Indian, South Indian, Chinese"
4276,Lovely Knights,Yes,Delivery,"North Indian, Chinese"
4301,Bonfooder,Yes,Delivery,North Indian
4320,Eatsomnia,Yes,Delivery,"North Indian, South Indian, Chinese, Continental"
4350,Parathabox,No,Delivery,"Fast Food, North Indian"
4353,La-Pizza,Yes,Delivery,"Italian, Pizza, Burger"
5131,Warm Oven,Yes,Delivery,"Bakery, Desserts"
5183,Biryani Trip,Yes,Delivery,Biryani
5329,Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,Delivery,Continental
5363,Crunch Pizzas,Yes,Delivery,"Italian, Pizza"
